incident_id,incident_url,incident_type,incident_name,incident_date_created,incident_date_extinguished,incident_date_last_update,incident_dateonly_extinguished,incident_dateonly_created,incident_is_final,is_active,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_longitude,incident_latitude,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,calfire_incident,notification_desired,Fire_Duration,log_acres_burned,wind_temp,elevation,landcover,aspect,slope,uid,min_temp,max_temp,avg_temp,avg_windspeed,avg_precipitation,FIRE_NAME,ALARM_DATE,GIS_ACRES,CAUSE,Year_Started,ndvi,avg_pdsi,avg_spi30d,fuel_type,cause_description,ndmi
2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,,bridge,2017-10-31 11:22:00+00:00,2018-01-09 13:46:00+00:00,2018-01-09T13:46:00Z,1/9/18,10/31/17,Y,N, Shasta-Trinity National Forest ,,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",-122.309,40.774,37,100,, Shasta-Trinity National Forest ,False,False,70,3.63758616,95.49380853,355.0,42.0,74.0,39.0,2ca11d45-8139-4c16-8af0-880d99b21e82bridge,-0.3,25.2,9.69278169,9.852053991,0.250058685,bridge,10/31/17,35.51982,2,2017,0.871471471,2.719999989,0.951666658,Forest,Equipment/vehicles,0.21412619948387146
8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,Wildfire,pala,2009-05-24 14:56:00+00:00,2009-05-25 00:00:00+00:00,2020-09-16T14:07:35Z,5/25/09,5/24/09,Y,N,CAL FIRE San Diego Unit,,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",-117.2036,33.6824,122,100,,CAL FIRE San Diego Unit,True,False,0,4.812184355,351.4163411,441.0,22.0,67.0,2.0,8f61f461-552d-4538-b186-35ab030da416pala 4,26.0,27.5,26.66875,13.17708333,0.220833333,pala 4,5/24/09,106.1154,14,2009,,,,,Unknown (Human),0.00595001969486475
094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,,river,2013-02-24 08:16:00+00:00,2013-02-28 20:00:00+00:00,2022-10-24T11:39:23Z,2/28/13,2/24/13,Y,N,CAL FIRE San Bernardino Unit,,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",-118.01651,36.602575,407,100,,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",True,False,4,6.011267174,22.53214444,1116.0,52.0,23.0,3.0,094719ba-a47b-4abb-9ec5-a506b2b9fd23river,-0.2,15.2,6.235833333,3.613333333,0.0,river,2/24/13,406.8415,14,2013,0.088693297,-2.080000003,-0.218333333,Shrubland,Unknown (Human),-0.03804865851998329
357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/,,gold,2013-04-30 12:59:00+00:00,2013-05-01 07:00:00+00:00,2013-05-01T07:00:00Z,5/1/13,4/30/13,Y,N,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,-119.635004,37.116295,274,100,,CAL FIRE Madera-Mariposa-Merced Unit,True,False,0,5.616771098,140.0077257,490.0,71.0,180.0,11.0,357ffc13-bef9-48eb-810f-c5de851972ebgold,12.3,30.4,21.47083333,6.520833333,0.0,gold,4/30/13,183.6424,14,2013,0.021794222,-0.891666651,-0.224999999,Grassland,Unknown (Human),0.048903122544288635
53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,,panther,2013-05-01 09:12:00+00:00,2013-05-09 09:00:00+00:00,2022-10-24T11:40:03Z,5/9/13,5/1/13,Y,N,CAL FIRE Butte Unit,,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",-121.595555,40.190062,6896,100,,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",True,False,7,8.838841813,114.2447771,1379.0,42.0,186.0,11.0,53122f0f-fefc-4dbf-b2d8-566b42ced66dpanther,4.3,26.5,12.97962963,8.801851852,0.127777778,panther,5/1/13,6896.198,9,2013,0.136799303,1.00333334,-0.231666664,Forest,Miscellaneous/other,0.10961075872182846
d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/,,silverado,2013-04-30 23:44:00+00:00,2013-05-01 17:15:00+00:00,2013-05-01T17:15:00Z,5/1/13,4/30/13,Y,N,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"7300 block of Silverado Trail, north of Napa",-122.350844,38.441792,75,100,,CAL FIRE Sonoma-Lake-Napa Unit,True,False,0,4.33073334,345.6964236,63.0,22.0,270.0,5.0,d8d1c943-7b5d-4885-9043-f41075d6ededsilverado,14.3,30.9,23.22708333,14.88333333,0.0,silverado,4/30/13,60.21228,5,2013,0.283749363,1.820000013,-0.249999995,Urban,Debris/open burning,-0.017553318291902542
64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/,,yellow,2013-05-01 02:01:00+00:00,2013-05-03 06:15:00+00:00,2013-05-03T06:15:00Z,5/3/13,5/1/13,Y,N,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",-122.655616,38.638828,125,100,,CAL FIRE Sonoma-Lake-Napa Unit,True,False,2,4.836281907,194.1025463,248.0,43.0,306.0,18.0,64e4f81e-d872-44c4-ba8d-111fa77124bayellow,11.9,32.8,22.61388889,8.583333333,0.0,yellow,5/1/13,83.76048,11,2013,0.015306122,1.729999999,-0.243333326,Forest,Power generation/transmission,0.12678536772727966
a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,,summit,2013-05-01 12:38:00+00:00,2013-05-04 18:30:00+00:00,2022-10-24T11:40:42Z,5/4/13,5/1/13,Y,N,CAL FIRE/Riverside County Fire ,,Riverside,Mias Canyon and Bluff Road in Banning,-116.941311,34.288877,2956,100,,CAL FIRE/Riverside County Fire ,True,False,3,7.99193052,107.9686046,2412.0,42.0,169.0,17.0,a1b14be5-a8cf-4e40-8588-96becf4c5879summit,3.8,21.8,12.11145833,8.914583333,0.0,summit,5/1/13,3166.079,14,2013,0.305095963,-2.720000029,-0.36666667,Forest,Unknown (Human),0.008613278158009052
ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/,,tres pinos,2013-05-03 11:42:00+00:00,2013-05-03 18:45:00+00:00,2013-05-03T18:45:00Z,5/3/13,5/3/13,Y,N,CAL FIRE San Benito-Monterey ,,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",-120.937494,37.160346,354,100,,CAL FIRE San Benito-Monterey ,True,False,0,5.872117789,191.5392361,27.0,82.0,121.0,5.0,ca68f3c4-4906-4952-b794-4531d7da8369tres pinos,14.8,35.3,26.20833333,7.308333333,0.0,tres pinos,5/3/13,353.4941,2,2013,0.135353535,-1.338333329,0.071666664,Agriculture,Equipment/vehicles,-0.08141473680734634
5649e78d-7c26-4698-89a0-b0fa9a35cf78,https://www.fire.ca.gov/incidents/2013/5/1/306-fire/,,306,2013-05-01 19:00:00+00:00,2013-05-05 18:00:00+00:00,2013-05-05T18:00:00Z,5/5/13,5/1/13,Y,N,CAL FIRE Tehama-Glenn Unit,,Glenn,2 miles south of the community of Elk Creek,-122.560862,39.514139,217,100,,CAL FIRE Tehama-Glenn Unit,True,False,3,5.384495063,284.6187187,534.0,52.0,71.0,22.0,5649e78d-7c26-4698-89a0-b0fa9a35cf78306,11.0,32.3,21.2125,13.4175,0.0,306,5/1/13,208.3874,5,2013,0.508274232,1.563333333,-0.258333328,Shrubland,Debris/open burning,0.021965546533465385
e2c4b308-9a2d-483b-8434-999bef9adc7c,https://www.fire.ca.gov/incidents/2013/5/13/lytle-fire/,,lytle,2013-05-13 13:30:00+00:00,2013-05-15 08:15:00+00:00,2013-05-15T08:15:00Z,5/15/13,5/13/13,Y,N,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",,San Bernardino,"I-15 at Sierra Ave, near Lytle Creek",-117.4408,34.1834,75,100,,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",True,False,1,4.33073334,153.2609086,620.0,21.0,141.0,4.0,e2c4b308-9a2d-483b-8434-999bef9adc7clytle,13.2,36.0,24.44027778,6.270833333,0.0,lytle,5/13/13,76.87362,2,2013,0.006622517,-1.705000043,-0.151666665,Urban,Equipment/vehicles,-0.035124521702528
958ce6d2-97f9-4848-8620-d14ab87f329d,https://www.fire.ca.gov/incidents/2013/5/4/gorgonio-fire/,,gorgonio,2013-05-04 11:43:00+00:00,2013-05-05 18:45:00+00:00,2022-10-24T11:40:58Z,5/5/13,5/4/13,Y,N,CAL FIRE/Riverside County Fire,,Riverside,"Highway 243, south of Banning and north of Pine Cove",-116.855019,33.894055,650,100,,CAL FIRE/Riverside County Fire,True,False,1,6.478509642,203.1655382,926.0,71.0,41.0,9.0,958ce6d2-97f9-4848-8620-d14ab87f329dgorgonio,8.6,30.4,17.85416667,11.37916667,0.004166667,gorgonio,5/4/13,510.2238,14,2013,0.028203859,-1.589999994,0.003333333,Grassland,Unknown (Human),0.0980372354388237
39af7eac-c188-411f-8c8a-d165c5fca4a9,https://www.fire.ca.gov/incidents/2013/5/17/lake-fire/,,lake,2013-05-17 13:23:00+00:00,2013-05-18 19:00:00+00:00,2013-05-18T19:00:00Z,5/18/13,5/17/13,Y,N,CAL FIRE/Los Angeles County ,,Los Angeles,I-5 Southbound at Lake Hughes Road,-118.610044,34.49149,712,100,,CAL FIRE/Los Angeles County ,True,False,1,6.56948142,116.7475911,374.0,52.0,268.0,29.0,39af7eac-c188-411f-8c8a-d165c5fca4a9lake,12.7,26.3,18.10625,6.447916667,0.0,lake,5/17/13,659.6399,3,2013,-0.033909574,-2.154999971,-0.44000001,Shrubland,Smoking,0.0004424079670570791
f17c523c-bf01-4245-899b-7c2331096dae,https://www.fire.ca.gov/incidents/2013/5/20/cottontail-fire/,,cottontail,2013-05-20 15:45:00+00:00,2013-05-20 19:10:00+00:00,2013-05-20T19:10:00Z,5/20/13,5/20/13,Y,N,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,-120.91375,35.49864,35,100,,CAL FIRE San Luis Obispo Unit,True,False,0,3.583518938,246.0667535,173.0,71.0,71.0,16.0,f17c523c-bf01-4245-899b-7c2331096daecottontail,14.1,27.6,21.12916667,11.64583333,0.0,cottontail,5/20/13,30.29119,14,2013,0.087176035,-1.569999993,-0.01333334,Grassland,Unknown (Human),-0.06056293100118637
13850faa-5bab-4fd7-bac3-433ce9250c4d,https://www.fire.ca.gov/incidents/2013/5/21/water-fire/,,water,2013-05-21 14:16:00+00:00,2013-05-21 19:30:00+00:00,2013-05-21T19:30:00Z,5/21/13,5/21/13,Y,N,CAL FIRE/Riverside County Fire ,,Riverside,Off Whitewater Canyon Road in Whitewater,-116.6534,33.9582,90,100,,CAL FIRE/Riverside County Fire ,True,False,0,4.510859507,185.4188194,682.0,52.0,25.0,18.0,13850faa-5bab-4fd7-bac3-433ce9250c4dwater,21.8,34.1,28.05833333,6.608333333,0.0,water,5/21/13,89.7011,9,2013,0.252164502,-1.916666647,-0.341666671,Shrubland,Miscellaneous/other,-0.028145069256424904
0b51d59b-457d-4a62-b066-55c2b8d400e2,https://www.fire.ca.gov/incidents/2013/5/30/shelton-fire/,,shelton,2013-05-30 11:20:00+00:00,2013-05-30 13:25:00+00:00,2013-05-30T13:25:00Z,5/30/13,5/30/13,Y,N,CAL FIRE Tuolumne-Calaveras Unit ,,San Joaquin,off North Shelton Rd in the Linden Peters area,-120.90325,38.04993,303,100,,CAL FIRE Tuolumne-Calaveras Unit ,True,False,0,5.717027701,207.5214062,79.0,71.0,90.0,10.0,0b51d59b-457d-4a62-b066-55c2b8d400e2shelton,11.1,28.6,19.7875,10.4875,0.0,shelton,5/30/13,236.6837,2,2013,0.110581831,1.205000003,-0.151666662,Grassland,Equipment/vehicles,-0.08426360785961151
e077e091-f890-477c-b948-eb23774b432e,https://www.fire.ca.gov/incidents/2013/5/22/border-fire/,,border,2013-05-22 16:14:00+00:00,2013-05-23 08:30:00+00:00,2013-05-23T08:30:00Z,5/23/13,5/22/13,Y,N,CAL FIRE San Diego Unit,,San Diego,Off Alta Rd in the Otay Mesa area,-116.900368,32.564465,100,100,,CAL FIRE San Diego Unit,True,False,0,4.615120517,179.1425,206.0,52.0,125.0,8.0,e077e091-f890-477c-b948-eb23774b432eborder,13.7,23.2,17.46666667,10.25625,0.0,border,5/22/13,61.55982,7,2013,0.020717131,-1.646666666,0.083333335,Shrubland,Incendiary (unlawful),-0.1265348643064499
e077e091-f890-477c-b948-eb23774b432e,https://www.fire.ca.gov/incidents/2013/5/22/border-fire/,,border,2013-05-22 16:14:00+00:00,2013-05-23 08:30:00+00:00,2013-05-23T08:30:00Z,5/23/13,5/22/13,Y,N,CAL FIRE San Diego Unit,,San Diego,Off Alta Rd in the Otay Mesa area,-116.900368,32.564465,100,100,,CAL FIRE San Diego Unit,True,False,0,4.615120517,179.1425,206.0,52.0,125.0,8.0,e077e091-f890-477c-b948-eb23774b432eborder2,13.7,23.2,17.46666667,10.25625,0.0,border2,5/22/13,325.2898,14,2013,0.020717131,-1.646666666,0.083333335,Shrubland,Unknown (Human),-0.1265348643064499
859479e3-918c-42c6-bb74-5fdc17930a16,https://www.fire.ca.gov/incidents/2013/5/23/san-felipe-fire/,,san felipe,2013-05-23 12:20:00+00:00,2013-05-26 17:45:00+00:00,2022-10-24T11:41:15Z,5/26/13,5/23/13,Y,N,CAL FIRE San Diego Unit,,San Diego,"San Felipe Road, north of Highway 78, East of Julian",-116.52579,33.12111,2650,100,,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",True,False,3,7.882692206,126.8334972,749.0,71.0,90.0,7.0,859479e3-918c-42c6-bb74-5fdc17930a16felipe,11.1,27.4,18.98645833,6.680208333,0.0,felipe,5/23/13,2780.291,18,2013,0.551198257,-1.404999991,0.033333334,Grassland,Unknown,0.0019182761898264289
9795afee-7e60-4ab3-b5c3-7df67f91c5f9,https://www.fire.ca.gov/incidents/2013/5/25/smiley-fire/,,smiley,2013-05-25 14:59:00+00:00,2013-05-25 23:00:00+00:00,2013-05-25T23:00:00Z,5/25/13,5/25/13,Y,N,CAL FIRE/Riverside County Fire,,Riverside,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",-117.187934,33.963591,124,100,,CAL FIRE/Riverside County Fire,True,False,0,4.828313737,120.6999306,626.0,21.0,194.0,9.0,9795afee-7e60-4ab3-b5c3-7df67f91c5f9smiley,10.5,22.3,16.12916667,7.483333333,0.0,smiley,5/25/13,126.6421,9,2013,0.024941176,-1.431666672,0.119999995,Urban,Miscellaneous/other,-0.07378232479095459
07a5397c-a665-4f84-9a82-5f689cb2c8f3,https://www.fire.ca.gov/incidents/2013/5/26/general-fire/,,general,2013-05-26 12:04:00+00:00,2013-05-31 06:15:00+00:00,2022-10-24T11:41:51Z,5/31/13,5/26/13,Y,N,CAL FIRE San Diego Unit,,San Diego,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",-116.5209,33.04458,2500,100,,CAL FIRE San Diego Unit,True,False,4,7.824445931,171.8701461,1115.0,52.0,341.0,7.0,07a5397c-a665-4f84-9a82-5f689cb2c8f3general,9.4,32.7,18.98680556,9.052083333,0.0,general,5/26/13,1270.866,9,2013,0.469928058,-1.380000015,0.008333332,Shrubland,Miscellaneous/other,0.030860720202326775
